#DISTANCE:      BLOCK_NUMBER:        AVE_GOFR:
     1.07728           8     2.29078
     1.10293           8     2.38878
     1.12858           8     2.26909
     1.15423           8      2.0954
     1.17988           8     1.87232
     1.20553           8     1.63764
     1.23118           8     1.49586
     1.25683           8     1.29571
     1.28248           8      1.1544
     1.30813           8     1.00907
     1.33378           8    0.927607
     1.35943           8    0.893065
     1.38508           8    0.818919
     1.41073           8    0.760492
     1.43638           8    0.713841
     1.46203           8    0.682576
     1.48768           8    0.660525
     1.51333           8    0.660863
     1.53898           8    0.657672
     1.56463           8    0.633587
     1.59028           8    0.668595
     1.61593           8    0.635725
     1.64158           8    0.647927
     1.66723           8    0.649603
     1.69288           8    0.644777
     1.71853           8    0.684379
     1.74418           8    0.729727
     1.76983           8     0.75967
     1.79547           8    0.779265
     1.82112           8      0.8001
     1.84677           8    0.848209
     1.87242           8    0.859989
     1.89807           8    0.906994
     1.92372           8    0.973849
     1.94937           8      1.0024
     1.97502           8     1.01954
     2.00067           8     1.04702
     2.02632           8     1.06119
     2.05197           8     1.06579
     2.07762           8     1.07563
     2.10327           8      1.0942
     2.12892           8     1.09518
     2.15457           8     1.11742
     2.18022           8     1.08906
     2.20587           8     1.06499
     2.23152           8     1.08351
     2.25717           8     1.06557
     2.28282           8     1.03135
     2.30847           8     1.01534
     2.33412           8    0.964986
     2.35977           8    0.926865
     2.38542           8    0.882491
     2.41107           8    0.856933
     2.43672           8    0.861607
     2.46237           8    0.864678
     2.48802           8    0.859015
     2.51366           8    0.854757
     2.53931           8    0.859047
           0           9           0
   0.0256496           9           0
   0.0512993           9           0
   0.0769489           9           0
    0.102599           9           0
    0.128248           9           0
    0.153898           9           0
    0.179547           9           0
    0.205197           9           0
    0.230847           9           0
    0.256496           9           0
    0.282146           9           0
    0.307796           9           0
    0.333445           9           0
    0.359095           9           0
    0.384745           9           0
    0.410394           9           0
    0.436044           9           0
    0.461694           9           0
    0.487343           9           0
    0.512993           9           0
    0.538642           9           0
    0.564292           9           0
    0.589942           9           0
    0.615591           9           0
    0.641241           9           0
    0.666891           9           0
     0.69254           9           0
     0.71819           9           0
