#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         550     1.20525     1.21026   0.0124761
         551     1.21101     1.21026   0.0124535
         552     1.21694     1.21027   0.0124309
         553     1.22303     1.21029   0.0124084
         554     1.22926     1.21033   0.0123861
         555      1.2356     1.21037   0.0123639
         556     1.24205     1.21043   0.0123418
         557     1.24859      1.2105   0.0123198
         558     1.25519     1.21058    0.012298
         559     1.26184     1.21067   0.0122763
         560     1.26852     1.21077   0.0122548
         561     1.27522     1.21089   0.0122335
         562     1.28191     1.21101   0.0122124
         563     1.28859     1.21115   0.0121915
         564     1.29524      1.2113   0.0121708
         565     1.30183     1.21146   0.0121503
         566     1.30836     1.21163     0.01213
         567      1.3148     1.21181     0.01211
         568     1.32115     1.21201   0.0120902
         569     1.32738     1.21221   0.0120707
         570     1.33347     1.21242   0.0120514
         571      1.3394     1.21265   0.0120323
         572     1.34517     1.21288   0.0120135
         573     1.35074     1.21312    0.011995
         574     1.35611     1.21337   0.0119766
         575     1.36127     1.21362   0.0119586
         576     1.36619     1.21389   0.0119407
         577     1.37087     1.21416   0.0119232
         578      1.3753     1.21444   0.0119058
         579     1.37945     1.21472   0.0118886
         580     1.38332     1.21502   0.0118717
         581      1.3869     1.21531   0.0118549
         582     1.39019     1.21561   0.0118384
         583     1.39319     1.21592    0.011822
         584     1.39589     1.21622   0.0118058
         585     1.39829     1.21654   0.0117897
         586      1.4004     1.21685   0.0117737
         587     1.40223     1.21717   0.0117579
         588     1.40378     1.21748   0.0117422
         589     1.40506      1.2178   0.0117266
         590     1.40608     1.21812    0.011711
         591     1.40686     1.21844   0.0116956
         592      1.4074     1.21876   0.0116802
         593     1.40774     1.21908   0.0116648
         594     1.40789      1.2194   0.0116495
         595     1.40787     1.21971   0.0116343
         596     1.40771     1.22003    0.011619
         597     1.40741     1.22034   0.0116038
         598     1.40701     1.22065   0.0115886
         599     1.40652     1.22096   0.0115734
         600     1.40597     1.22127   0.0115582
         601     1.40537     1.22158    0.011543
         602     1.40475     1.22188   0.0115279
         603     1.40412     1.22218   0.0115127
         604      1.4035     1.22249   0.0114976
         605     1.40291     1.22278   0.0114824
         606     1.40235     1.22308   0.0114673
         607     1.40185     1.22337   0.0114522
         608      1.4014     1.22367   0.0114371
         609     1.40102     1.22396    0.011422
         610      1.4007     1.22425    0.011407
         611     1.40046     1.22454   0.0113919
         612      1.4003     1.22482    0.011377
         613     1.40021     1.22511    0.011362
         614     1.40019     1.22539   0.0113471
         615     1.40024     1.22568   0.0113322
         616     1.40035     1.22596   0.0113173
         617     1.40052     1.22625   0.0113025
         618     1.40073     1.22653   0.0112878
         619     1.40098     1.22681    0.011273
