#DISTANCE:      BLOCK_NUMBER:        ACTUAL_POFV:         AVE_POFV:        ERROR:
         6.8          10           0           0           0
     6.93333          10           0           0           0
     7.06667          10           0           0           0
         7.2          10           0           0           0
     7.33333          10           0           0           0
     7.46667          10           0           0           0
         7.6          10           0           0           0
     7.73333          10           0           0           0
     7.86667          10           0           0           0
           0          11  0.00121528  0.00386364 0.000839624
    0.133333          11   0.0360764   0.0287311  0.00757087
    0.266667          11   0.0826736   0.0569318  0.00693532
         0.4          11   0.0998958   0.0836332  0.00820532
    0.533333          11    0.156458    0.135028   0.0150959
    0.666667          11     0.29316    0.218466   0.0201772
         0.8          11    0.382222    0.294795    0.021192
    0.933333          11    0.422153    0.396588   0.0228642
     1.06667          11    0.404757    0.380729   0.0236975
         1.2          11    0.366736    0.408169   0.0141619
     1.33333          11    0.520937    0.486285   0.0276157
     1.46667          11     0.37809    0.438895   0.0171627
         1.6          11     0.53125    0.468194   0.0214586
     1.73333          11    0.506424     0.49864   0.0197473
     1.86667          11    0.512951    0.500691   0.0287282
           2          11     0.36566    0.431818   0.0245393
     2.13333          11    0.349028    0.404141    0.021009
     2.26667          11    0.262118    0.413318   0.0238173
         2.4          11     0.17066    0.303886   0.0344176
     2.53333          11    0.285521    0.316313   0.0334794
     2.66667          11     0.23934    0.224495   0.0228197
         2.8          11    0.201667    0.203501   0.0141963
     2.93333          11    0.131007    0.186383   0.0203216
     3.06667          11    0.211007    0.135925   0.0157792
         3.2          11    0.209097    0.140694   0.0149957
     3.33333          11    0.132292   0.0850726   0.0127815
     3.46667          11    0.103924   0.0705556   0.0101909
         3.6          11   0.0907639   0.0608554   0.0102341
     3.73333          11   0.0259028   0.0335827  0.00480445
     3.86667          11   0.0126736   0.0211332  0.00458008
           4          11  0.00763889  0.00938763  0.00244801
     4.13333          11  0.00670139  0.00934975  0.00389906
     4.26667          11           0  0.00636995  0.00348888
         4.4          11           0   0.0103283   0.0048571
     4.53333          11           0   0.0148011  0.00523196
     4.66667          11           0  0.00629419  0.00182162
         4.8          11           0  0.00599432  0.00184323
     4.93333          11           0  0.00337121  0.00197013
     5.06667          11           0  0.00167298  0.00147065
         5.2          11           0 0.000763889   0.0006105
     5.33333          11           0 0.000334596 0.000319025
     5.46667          11           0 1.89394e-05  1.8058e-05
         5.6          11           0           0           0
     5.73333          11           0           0           0
     5.86667          11           0           0           0
           6          11           0           0           0
     6.13333          11           0           0           0
     6.26667          11           0           0           0
         6.4          11           0           0           0
     6.53333          11           0           0           0
     6.66667          11           0           0           0
         6.8          11           0           0           0
     6.93333          11           0           0           0
