#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         463          -1   -0.988251   0.0018123
         464          -1   -0.988276  0.00180857
         465          -1   -0.988301  0.00180486
         466          -1   -0.988326  0.00180116
         467          -1   -0.988351  0.00179748
         468          -1   -0.988376  0.00179381
         469          -1   -0.988401  0.00179016
         470          -1   -0.988426  0.00178652
         471          -1    -0.98845  0.00178289
         472          -1   -0.988475  0.00177928
         473          -1   -0.988499  0.00177569
         474          -1   -0.988523  0.00177211
         475          -1   -0.988547  0.00176854
         476          -1   -0.988571  0.00176499
         477          -1   -0.988595  0.00176145
         478          -1   -0.988619  0.00175793
         479          -1   -0.988643  0.00175442
         480          -1   -0.988667  0.00175093
         481          -1    -0.98869  0.00174744
         482          -1   -0.988714  0.00174398
         483          -1   -0.988737  0.00174052
         484          -1    -0.98876  0.00173708
         485          -1   -0.988784  0.00173365
         486          -1   -0.988807  0.00173024
         487          -1    -0.98883  0.00172684
         488          -1   -0.988852  0.00172345
         489          -1   -0.988875  0.00172008
         490          -1   -0.988898  0.00171672
         491          -1   -0.988921  0.00171337
         492          -1   -0.988943  0.00171004
         493          -1   -0.988966  0.00170672
         494          -1   -0.988988  0.00170341
         495          -1    -0.98901  0.00170011
         496          -1   -0.989032  0.00169683
         497          -1   -0.989054  0.00169356
         498          -1   -0.989076   0.0016903
         499          -1   -0.989098  0.00168705
         500          -1    -0.98912  0.00168382
         501          -1   -0.989142   0.0016806
         502          -1   -0.989163  0.00167739
         503          -1   -0.989185  0.00167419
         504          -1   -0.989206  0.00167101
         505          -1   -0.989228  0.00166784
         506          -1   -0.989249  0.00166468
         507          -1    -0.98927  0.00166153
         508          -1   -0.989291  0.00165839
         509          -1   -0.989312  0.00165527
         510          -1   -0.989333  0.00165216
         511          -1   -0.989354  0.00164905
         512          -1   -0.989375  0.00164596
         513          -1   -0.989396  0.00164289
         514          -1   -0.989416  0.00163982
         515          -1   -0.989437  0.00163676
         516          -1   -0.989457  0.00163372
         517          -1   -0.989478  0.00163069
         518          -1   -0.989498  0.00162767
         519          -1   -0.989518  0.00162466
         520          -1   -0.989538  0.00162166
         521          -1   -0.989559  0.00161867
         522          -1   -0.989579  0.00161569
         523          -1   -0.989598  0.00161272
         524          -1   -0.989618  0.00160977
         525          -1   -0.989638  0.00160682
         526          -1   -0.989658  0.00160389
         527          -1   -0.989677  0.00160097
         528          -1   -0.989697  0.00159805
         529          -1   -0.989716  0.00159515
         530          -1   -0.989736  0.00159226
         531          -1   -0.989755  0.00158938
         532          -1   -0.989774  0.00158651
         533          -1   -0.989794  0.00158365
         534          -1   -0.989813   0.0015808
         535          -1   -0.989832  0.00157796
         536          -1   -0.989851  0.00157513
         537          -1    -0.98987  0.00157231
         538          -1   -0.989888   0.0015695
         539          -1   -0.989907   0.0015667
         540          -1   -0.989926  0.00156391
         541          -1   -0.989945  0.00156113
         542          -1   -0.989963  0.00155836
         543          -1   -0.989982   0.0015556
         544       -0.92   -0.989853  0.00155805
         545       -0.92   -0.989725  0.00156045
         546       -0.92   -0.989597  0.00156281
         547       -0.92    -0.98947  0.00156512
         548       -0.92   -0.989343  0.00156739
         549       -0.92   -0.989217  0.00156962
         550       -0.92   -0.989091   0.0015718
         551       -0.92   -0.988966  0.00157394
         552       -0.92   -0.988841  0.00157604
         553          -1   -0.988861  0.00157332
         554          -1   -0.988881  0.00157061
         555          -1   -0.988901  0.00156791
         556          -1   -0.988921  0.00156522
         557          -1   -0.988941  0.00156253
         558          -1   -0.988961  0.00155986
         559          -1    -0.98898  0.00155719
         560          -1      -0.989  0.00155454
         561          -1    -0.98902  0.00155189
         562          -1   -0.989039  0.00154925
         563          -1   -0.989059  0.00154662
         564          -1   -0.989078    0.001544
         565          -1   -0.989097  0.00154139
         566          -1   -0.989117  0.00153879
         567          -1   -0.989136  0.00153619
         568          -1   -0.989155  0.00153361
         569          -1   -0.989174  0.00153103
         570          -1   -0.989193  0.00152846
         571          -1   -0.989212   0.0015259
         572          -1   -0.989231  0.00152335
         573          -1    -0.98925  0.00152081
         574          -1   -0.989268  0.00151827
         575          -1   -0.989287  0.00151575
         576          -1   -0.989306  0.00151323
         577          -1   -0.989324  0.00151072
         578          -1   -0.989343  0.00150822
         579          -1   -0.989361  0.00150573
         580          -1   -0.989379  0.00150324
         581          -1   -0.989398  0.00150077
         582          -1   -0.989416   0.0014983
         583          -1   -0.989434  0.00149584
         584          -1   -0.989452  0.00149339
         585          -1    -0.98947  0.00149094
         586          -1   -0.989488  0.00148851
         587          -1   -0.989506  0.00148608
         588          -1   -0.989524  0.00148366
         589          -1   -0.989542  0.00148125
         590          -1   -0.989559  0.00147884
         591          -1   -0.989577  0.00147645
         592          -1   -0.989595  0.00147406
         593          -1   -0.989612  0.00147167
         594          -1    -0.98963   0.0014693
         595          -1   -0.989647  0.00146694
         596          -1   -0.989664  0.00146458
         597          -1   -0.989682  0.00146223
         598          -1   -0.989699  0.00145988
         599          -1   -0.989716  0.00145755
         600          -1   -0.989733  0.00145522
         601          -1    -0.98975   0.0014529
         602          -1   -0.989767  0.00145058
         603          -1   -0.989784  0.00144828
         604          -1   -0.989801  0.00144598
         605          -1   -0.989818  0.00144369
         606          -1   -0.989835   0.0014414
         607          -1   -0.989852  0.00143912
         608          -1   -0.989868  0.00143685
         609          -1   -0.989885  0.00143459
         610          -1   -0.989902  0.00143233
         611          -1   -0.989918  0.00143009
         612          -1   -0.989935  0.00142784
         613          -1   -0.989951  0.00142561
