#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
          23    0.032504   0.0251624  0.00118483
          24    0.031076   0.0254088   0.0011608
          25    0.028788    0.025544  0.00112221
          26    0.032652   0.0258174  0.00111185
          27    0.018636   0.0255514  0.00110203
          28    0.018088   0.0252849  0.00109443
          29    0.026072    0.025312  0.00105703
          30    0.030768   0.0254939  0.00103732
          31    0.020316   0.0253268  0.00101722
          32    0.036256   0.0256684  0.00104119
          33    0.027928   0.0257368  0.00101188
          34    0.029032   0.0258338 0.000986754
          35      0.0173   0.0255899 0.000988226
          36    0.025552   0.0255889 0.000960775
          37    0.038952   0.0259501  0.00100039
          38    0.022116   0.0258492  0.00097914
          39     0.02286   0.0257725 0.000957029
          40    0.037948   0.0260769 0.000980314
          41     0.02318   0.0260062 0.000958947
          42    0.034428   0.0262068  0.00095685
          43     0.03958   0.0265178 0.000983843
          44      0.0287   0.0265674 0.000962732
          45    0.014876   0.0263076 0.000975765
          46     0.02934   0.0263735 0.000956777
          47    0.039436   0.0266514 0.000975952
          48    0.041324   0.0269571  0.00100235
          49    0.038692   0.0271966   0.0010101
          50    0.024132   0.0271353 0.000991753
